"category","topic","name","url","media_kind","protocol","format","bitrate","is_live","https","language","country","homepage","source_kind","license_note","notes","confidence","favicon_index","access"
"Live TV","General","Beijing Satellite TV (BRTV 北京卫视)","http://go.bkpcp.top/mg/bjws","VIDEO","ICECAST","","","true","false","","CN","https://www.brtn.cn/btv/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=1080p","medium","991",""
"Live TV","General","Belarus-1 (Belarus-1)","https://edge51.dc.beltelecom.by/ngtrk/_definst_/smil:belarus1.smil/chunklist_w1701491008_b5160000_sleng.m3u8","VIDEO","HLS","m3u8","","true","true","","BY","http://www.tvr.by/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=1080p","medium","992",""
"Live TV","General","Belarus-4 (Belarus-4 Gomel)","http://46.56.85.151:8080/0.m3u8","VIDEO","HLS","m3u8","","true","false","","BY","http://www.tvr.by/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","993",""
"Live TV","General","BelRos (BelRos)","https://souzny.mediacdn.ru/cdn/souzny/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","RU","https://belros.tv/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","994",""
"Live TV","General","Bergamo TV (Bergamo TV)","https://db142859fd5541b09de25d6507f1f2d3.msvdn.net/live/S17501676/oIxAsgEEA46M/playlist_dvr.m3u8","VIDEO","HLS","m3u8","","true","true","","IT","https://bergamotv.it/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=1080p","medium","995",""
"Live TV","General","Berks Community TV (Berks Community TV)","https://livestream.telvue.com/berkscmttv2/f7b44cfafd5c52223d5498196c8a2e7b.sdp/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","US","https://www.bctv.org/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=1080p","medium","996",""
"Live TV","General","BIG Civic Channel (BIG Civic Channel)","https://reflect-brookline-interactive-group.cablecast.tv/live-5/live/stream-2/live.m3u8","VIDEO","HLS","m3u8","","true","true","","US","http://brookline-interactive-group.cablecast.tv:8080/CablecastPublicSite/watch/2?channel=2","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","",""
"Live TV","General","BIG Community Channel (BIG Community Channel)","https://reflect-brookline-interactive-group.cablecast.tv/live-4/live/stream-1/live.m3u8","VIDEO","HLS","m3u8","","true","true","","US","https://brooklineinteractive.org/live/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","997",""
"Live TV","General","Binge (Binge)","https://videostack1.cdnstream1.com:1936/binge-tv/binge-tv/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","US","https://ibinge.tv","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","",""
"Live TV","General","Blu Radio (Blu Radio)","https://mdstrm.com/live-stream-playlist/58d1921a72e2b22e2905e493.m3u8","VIDEO","HLS","m3u8","","true","true","","CO","https://www.bluradio.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","998",""
